training_seed,baseline_best_val_acc,se_best_val_acc,delta_best_val_acc,baseline_params,se_params,baseline_train_seconds,se_train_seconds
42,73.04,72.06,-0.980000000000004,37579,43431,826.2208556999976,1064.2537040999996
123,75.34,75.06,-0.28000000000000114,37579,43431,837.1624886000063,851.1907502000031
2026,73.14,73.36,0.21999999999999886,37579,43431,1032.0623737999995,1272.608751300002
