metric,n,mean,sample_std,min,max,range,cv_percent
best_val_acc,3,73.84,1.2999999999999998,73.04,75.34,2.299999999999997,1.7605633802816896
final_val_acc,3,73.56666666666666,1.5362725452644592,72.64,75.34,2.700000000000003,2.088272603440588
best_epoch,3,8.666666666666666,1.5275252316519468,7.0,10.0,3.0,17.62529113444554
train_seconds,3,898.4819060333344,115.81336649627455,826.2208556999976,1032.0623737999995,205.84151810000185,12.88989413349163
