true_class,predicted_class,count
dog,cat,161
truck,automobile,150
cat,dog,126
cat,frog,86
bird,deer,85
cat,bird,85
horse,deer,82
deer,bird,79
cat,deer,76
ship,airplane,66
dog,horse,62
bird,airplane,61
dog,deer,61
frog,bird,59
bird,frog,52
dog,bird,51
airplane,bird,50
horse,bird,48
deer,cat,47
airplane,ship,46
bird,cat,46
deer,horse,45
cat,horse,44
frog,deer,42
truck,airplane,42
bird,dog,41
deer,frog,37
horse,dog,37
horse,cat,35
frog,cat,33
dog,frog,32
bird,horse,31
airplane,deer,29
automobile,airplane,29
truck,ship,29
ship,automobile,27
truck,horse,21
truck,cat,19
airplane,automobile,18
automobile,ship,18
deer,dog,18
airplane,cat,17
cat,airplane,15
airplane,horse,14
automobile,frog,14
automobile,truck,14
horse,airplane,14
ship,bird,13
ship,cat,13
deer,airplane,12
frog,dog,12
truck,deer,11
airplane,truck,10
automobile,bird,9
ship,truck,9
truck,bird,9
horse,frog,8
truck,frog,8
airplane,frog,7
cat,automobile,7
cat,ship,7
dog,airplane,7
ship,deer,7
automobile,deer,6
bird,ship,6
ship,frog,5
automobile,cat,4
cat,truck,4
deer,automobile,4
deer,ship,4
dog,automobile,4
frog,airplane,4
horse,automobile,4
dog,ship,3
ship,horse,3
truck,dog,3
airplane,dog,2
frog,automobile,2
frog,horse,2
horse,ship,2
horse,truck,2
ship,dog,2
automobile,horse,1
bird,automobile,1
frog,ship,1
automobile,dog,0
bird,truck,0
deer,truck,0
dog,truck,0
frog,truck,0
