width_mult,channels,split_seed,split_sha256,training_seed,train_size,val_size,epochs,batch_size,lr,params,checkpoint_mb,best_val_acc,best_epoch,final_val_acc,train_seconds,official_test_evaluated,history_path,checkpoint_path
0.5,"(16, 32, 64)",42,6242d545f1d70bbd004ba26cd92784461728e0ffb0a64a1f27d1a6421039967e,42,45000,5000,10,64,0.001,10875,0.06496143341064453,67.56,10,67.56,531.6842892999994,False,checkpoints\day32_proper_width_models\width_0_5\history.json,checkpoints\day32_proper_width_models\width_0_5\best.pth
1.0,"(32, 64, 128)",42,6242d545f1d70bbd004ba26cd92784461728e0ffb0a64a1f27d1a6421039967e,42,45000,5000,10,64,0.001,37579,0.16975879669189453,73.04,7,72.64,837.3348595999996,False,checkpoints\day32_proper_width_models\width_1_0\history.json,checkpoints\day32_proper_width_models\width_1_0\best.pth
1.5,"(48, 96, 192)",42,6242d545f1d70bbd004ba26cd92784461728e0ffb0a64a1f27d1a6421039967e,42,45000,5000,10,64,0.001,80155,0.33510303497314453,74.72,10,74.72,6641.806935999997,False,checkpoints\day32_proper_width_models\width_1_5\history.json,checkpoints\day32_proper_width_models\width_1_5\best.pth
