epoch,train_loss,train_acc,val_loss,val_acc
1,1.7205393598556518,35.378,1.3536537475585937,51.12
2,1.4178372818756104,47.942,1.178135629272461,58.71
3,1.2668216455078125,53.704,1.081806858253479,61.64
4,1.1710138277435302,57.446,0.9673813186645508,65.93
5,1.100650150566101,60.192,0.9302329591751098,67.5
6,1.0380054328918458,62.728,0.8810916779518128,69.38
7,0.9897982525444031,64.324,0.830723080444336,71.39
8,0.9431301503753662,66.068,0.8504868949890136,70.83
9,0.9075236527442933,67.54,0.8256482977867127,70.95
10,0.8736012607574463,68.632,0.8039699102401734,72.18
