class_id,class_name,correct,total,accuracy
0,airplane,2277,3000,75.9
1,automobile,2595,3000,86.5
2,bird,1610,3000,53.666666666666664
3,cat,1747,3000,58.233333333333334
4,deer,2183,3000,72.76666666666667
5,dog,1797,3000,59.9
6,frog,2264,3000,75.46666666666667
7,horse,2333,3000,77.76666666666667
8,ship,2586,3000,86.2
9,truck,2415,3000,80.5
