true_class,predicted_class,count
dog,cat,177
cat,dog,136
frog,cat,93
bird,airplane,80
cat,bird,77
deer,bird,73
bird,deer,70
airplane,ship,68
automobile,truck,67
frog,bird,65
ship,airplane,61
bird,cat,60
cat,frog,59
deer,cat,58
dog,bird,55
truck,automobile,55
cat,deer,54
horse,deer,51
deer,horse,50
bird,dog,47
horse,cat,43
dog,deer,42
frog,deer,42
deer,frog,38
dog,horse,38
horse,bird,38
horse,dog,38
cat,airplane,36
deer,dog,35
truck,airplane,35
automobile,airplane,34
bird,frog,34
airplane,bird,28
airplane,truck,28
cat,horse,28
horse,airplane,28
deer,airplane,27
ship,truck,25
truck,ship,24
automobile,ship,18
bird,horse,18
dog,airplane,17
frog,airplane,17
frog,dog,17
dog,frog,16
ship,cat,15
truck,cat,14
ship,automobile,13
airplane,deer,11
bird,ship,11
airplane,horse,9
automobile,cat,9
horse,frog,9
airplane,automobile,8
automobile,bird,8
automobile,frog,8
deer,ship,8
horse,truck,8
ship,bird,8
ship,deer,8
cat,ship,7
cat,truck,7
airplane,cat,6
truck,dog,6
truck,horse,6
airplane,frog,5
bird,truck,5
ship,frog,4
truck,frog,4
airplane,dog,3
automobile,dog,3
automobile,horse,3
cat,automobile,3
dog,truck,3
frog,automobile,3
frog,horse,3
frog,ship,3
horse,automobile,3
horse,ship,3
ship,dog,3
automobile,deer,2
bird,automobile,2
deer,automobile,2
deer,truck,2
frog,truck,2
ship,horse,2
truck,bird,2
truck,deer,2
dog,automobile,1
dog,ship,1
